algorithm,task,seed,evaluation_seed,episode,robot,success,episode_reward,episode_length,final_distance,control_distance,collision_count,collision_rate,action_smoothness,terminated,truncated,inference_seconds,mean_inference_ms,source_file,environment_steps
diffusion,push_button,0,10000.0,40,panda,1.0,13.435949050471192,79.0,0.0208865050226449,0.0208865050226449,0.0,0.0,0.0062893265209771,True,False,2.414217700250447,30.5597177246892,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_push_button_seed0/evaluation/episode_metrics.csv,
diffusion,push_button,0,10000.0,41,panda,1.0,13.58198802039028,90.0,0.0324111022055149,0.0324111022055149,0.0,0.0,0.0055461167656475,True,False,2.69247137196362,29.91634857737356,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_push_button_seed0/evaluation/episode_metrics.csv,
diffusion,push_button,0,10000.0,42,panda,0.0,2.2354043602943583,200.0,0.3184241056442261,0.3187352805137634,0.0,0.0,0.0027819104653078,False,True,5.834294929169118,29.171474645845592,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_push_button_seed0/evaluation/episode_metrics.csv,
diffusion,push_button,0,10000.0,43,panda,0.0,1.9912850439548668,200.0,0.3434062898159027,0.3437174050807953,58.0,0.29,0.0026599922562829,False,True,5.801795779727399,29.008978898637,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_push_button_seed0/evaluation/episode_metrics.csv,
diffusion,push_button,0,10000.0,44,panda,0.0,1.8225590467453177,200.0,0.3446637392044067,0.3449749736785888,74.0,0.37,0.0025248159613482,False,True,5.824625473469496,29.12312736734748,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_push_button_seed0/evaluation/episode_metrics.csv,
diffusion,push_button,0,10000.0,45,panda,1.0,13.286789850145585,80.0,0.0428621284663677,0.0428621284663677,0.0,0.0,0.0062239132795066,True,False,2.3200725950300694,29.000907437875867,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_push_button_seed0/evaluation/episode_metrics.csv,
diffusion,push_button,0,10000.0,46,panda,1.0,13.494758060216911,121.0,0.0356874763965606,0.0356874763965606,0.0,0.0,0.01112038570591,True,False,3.609524334780872,29.8307796262882,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_push_button_seed0/evaluation/episode_metrics.csv,
diffusion,push_button,0,10000.0,47,panda,1.0,13.671890887886295,118.0,0.0372412614524364,0.0372412614524364,0.0,0.0,0.0041236616502333,True,False,3.479498138651252,29.48727236145129,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_push_button_seed0/evaluation/episode_metrics.csv,
diffusion,push_button,0,10000.0,48,panda,1.0,13.56816249108315,84.0,0.0213297307491302,0.0213297307491302,0.0,0.0,0.0058936796893588,True,False,2.420333169400692,28.813490111913,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_push_button_seed0/evaluation/episode_metrics.csv,
diffusion,push_button,0,10000.0,49,panda,1.0,13.608912081107505,79.0,0.0148666370660066,0.0148666370660066,0.0,0.0,0.0063392564722375,True,False,2.314497896470129,29.297441727469995,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_push_button_seed0/evaluation/episode_metrics.csv,
diffusion,push_button,0,10000.0,50,panda,1.0,13.690825142547494,79.0,0.0158690903335809,0.0158690903335809,0.0,0.0,0.0062192089471813,True,False,2.308181991800666,29.21749356709704,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_push_button_seed0/evaluation/episode_metrics.csv,
diffusion,push_button,0,10000.0,51,panda,0.0,1.8447549223900024,200.0,0.3142523169517517,0.3145635514259338,97.0,0.485,0.0028291145608795,False,True,5.771884613670409,28.859423068352044,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_push_button_seed0/evaluation/episode_metrics.csv,
diffusion,push_button,0,10000.0,52,panda,0.0,2.70916822850706,200.0,0.1636518388986587,0.1639630137681961,76.0,0.38,0.0051068430793531,False,True,5.760539637878537,28.80269818939269,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_push_button_seed0/evaluation/episode_metrics.csv,
diffusion,push_button,0,10000.0,53,panda,1.0,13.294344969123609,87.0,0.0450014658272266,0.0450014658272266,0.0,0.0,0.0056620557227716,True,False,2.553605848923325,29.351791366934776,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_push_button_seed0/evaluation/episode_metrics.csv,
diffusion,push_button,0,10000.0,54,panda,0.0,2.074631708860416,200.0,0.3007830083370209,0.301094242811203,110.0,0.55,0.0053735674505827,False,True,5.74114937428385,28.70574687141925,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_push_button_seed0/evaluation/episode_metrics.csv,
diffusion,push_button,0,10000.0,55,panda,1.0,13.475620058074597,68.0,0.029301730915904,0.029301730915904,0.0,0.0,0.0073680101610137,True,False,1.971256640739739,28.989068246172632,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_push_button_seed0/evaluation/episode_metrics.csv,
diffusion,push_button,0,10000.0,56,panda,1.0,13.452430216401822,97.0,0.0241716988384723,0.0241716988384723,0.0,0.0,0.0125867232990154,True,False,2.8755474537611008,29.64481911093918,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_push_button_seed0/evaluation/episode_metrics.csv,
diffusion,push_button,0,10000.0,57,panda,1.0,13.541710572957996,68.0,0.0129778683185577,0.0129778683185577,0.0,0.0,0.0073228075024877,True,False,1.9847902478650208,29.18809188036796,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_push_button_seed0/evaluation/episode_metrics.csv,
diffusion,push_button,0,10000.0,58,panda,1.0,13.401696178704508,96.0,0.031933631747961,0.031933631747961,0.0,0.0,0.0052479710003976,True,False,2.761787662282586,28.768621482110277,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_push_button_seed0/evaluation/episode_metrics.csv,
diffusion,push_button,0,10000.0,59,panda,1.0,13.466060051172978,95.0,0.0331482030451297,0.0331482030451297,0.0,0.0,0.0052686438275782,True,False,2.7671386310830712,29.127775064032328,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_push_button_seed0/evaluation/episode_metrics.csv,
